"Region","Site","Longitude","Latitude","SiteType","Year","Survey_Date","Season","DFOArea","Species","Inferred","NonPup","Swimmers","Total","Survey_Month","Present","year_group"
"Northern BC","Airacobra Rock",-128.2198,51.75905,"W",2010,"2010-01-22","winter","07","California",0,0,0,0,"01",FALSE,"[2010,2015)"
"Northern BC","Airacobra Rock",-128.2198,51.75905,"W",2012,"2012-10-19","fall","07","California",0,0,0,0,"10",FALSE,"[2010,2015)"
"Northern BC","Airacobra Rock",-128.2198,51.75905,"W",2016,"2016-10-27","fall","07","California",0,0,0,0,"10",FALSE,"[2015,2020)"
"Northern BC","Airacobra Rock",-128.2198,51.75905,"W",2017,"2017-02-01","winter","07","California",0,0,0,0,"02",FALSE,"[2015,2020)"
"Northern BC","Anthony Island",-131.229683,52.081117,"W",2009,"2009-01-20","winter","02","California",0,0,0,0,"01",FALSE,"[2005,2010)"
"Northern BC","Anthony Island",-131.229683,52.081117,"W",2012,"2012-10-20","fall","02","California",0,0,0,0,"10",FALSE,"[2010,2015)"
"Northern BC","Anthony Island",-131.229683,52.081117,"W",2016,"2016-10-28","fall","02","California",0,39,7,46,"10",TRUE,"[2015,2020)"
"Northern BC","Anthony Island",-131.229683,52.081117,"W",2017,"2017-02-02","winter","02","California",0,0,0,0,"02",FALSE,"[2015,2020)"
"Northern BC","Ashdown Island",-129.21027,53.04574,"W",1976,"1976-12-14","winter","06","California",0,0,0,0,"12",FALSE,"[1975,1980)"
"Northern BC","Ashdown Island",-129.21027,53.04574,"W",2010,"2010-01-23","winter","06","California",0,0,0,0,"01",FALSE,"[2010,2015)"
"Northern BC","Ashdown Island",-129.21027,53.04574,"W",2012,"2012-10-20","fall","06","California",0,0,0,0,"10",FALSE,"[2010,2015)"
"Northern BC","Ashdown Island",-129.21027,53.04574,"W",2016,"2016-10-29","fall","06","California",0,0,0,0,"10",FALSE,"[2015,2020)"
"Northern BC","Ashdown Island",-129.21027,53.04574,"W",2017,"2017-02-01","winter","06","California",0,0,0,0,"02",FALSE,"[2015,2020)"
"Northern BC","Blenheim Island",-128.25116,51.78027,"W",1976,"1976-12-14","winter","07","California",0,0,0,0,"12",FALSE,"[1975,1980)"
"Northern BC","Blenheim Island",-128.25116,51.78027,"W",2010,"2010-01-22","winter","07","California",0,0,0,0,"01",FALSE,"[2010,2015)"
"Northern BC","Blenheim Island",-128.25116,51.78027,"W",2012,"2012-10-19","fall","07","California",0,0,0,0,"10",FALSE,"[2010,2015)"
"Northern BC","Blenheim Island",-128.25116,51.78027,"W",2016,"2016-10-27","fall","07","California",0,2,0,2,"10",TRUE,"[2015,2020)"
"Northern BC","Blenheim Island",-128.25116,51.78027,"W",2017,"2017-02-01","winter","07","California",0,0,0,0,"02",FALSE,"[2015,2020)"
