Region,Site,Longitude,Latitude,SiteType,Year,Survey_Date,Season,DFOArea,Species,Inferred,NonPup,Pup,Swimmers,Total
Northern BC,Airacobra Rock,-128.2198,51.75905,W,2010,2010-01-22,winter,DFO Area 07,California,N,0,NA,0,0
Northern BC,Airacobra Rock,-128.2198,51.75905,W,2012,2012-10-19,fall,DFO Area 07,California,N,0,NA,0,0
Northern BC,Airacobra Rock,-128.2198,51.75905,W,2016,2016-10-27,fall,DFO Area 07,California,N,0,NA,0,0
Northern BC,Airacobra Rock,-128.2198,51.75905,W,2017,2017-02-01,winter,DFO Area 07,California,N,0,NA,0,0
Northern BC,Anthony Island,-131.229683,52.081117,W,2009,2009-01-20,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Anthony Island,-131.229683,52.081117,W,2012,2012-10-20,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Anthony Island,-131.229683,52.081117,W,2016,2016-10-28,fall,DFO Area 02,California,N,39,NA,7,46
Northern BC,Anthony Island,-131.229683,52.081117,W,2017,2017-02-02,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Ashdown Island,-129.21027,53.04574,W,1976,1976-12-14,winter,DFO Area 06,California,N,0,NA,0,0
Northern BC,Ashdown Island,-129.21027,53.04574,W,2010,2010-01-23,winter,DFO Area 06,California,N,0,NA,0,0
Northern BC,Ashdown Island,-129.21027,53.04574,W,2012,2012-10-20,fall,DFO Area 06,California,N,0,NA,0,0
Northern BC,Ashdown Island,-129.21027,53.04574,W,2016,2016-10-29,fall,DFO Area 06,California,N,0,NA,0,0
Northern BC,Ashdown Island,-129.21027,53.04574,W,2017,2017-02-01,winter,DFO Area 06,California,N,0,NA,0,0
Northern BC,Blenheim Island,-128.25116,51.78027,W,1976,1976-12-14,winter,DFO Area 07,California,N,0,NA,0,0
Northern BC,Blenheim Island,-128.25116,51.78027,W,2010,2010-01-22,winter,DFO Area 07,California,N,0,NA,0,0
Northern BC,Blenheim Island,-128.25116,51.78027,W,2012,2012-10-19,fall,DFO Area 07,California,N,0,NA,0,0
Northern BC,Blenheim Island,-128.25116,51.78027,W,2016,2016-10-27,fall,DFO Area 07,California,N,2,NA,0,2
Northern BC,Blenheim Island,-128.25116,51.78027,W,2017,2017-02-01,winter,DFO Area 07,California,N,0,NA,0,0
Northern BC,Bonilla Island,-130.6151,53.46567,W,1971,1971-12-10,winter,DFO Area 05,California,N,0,NA,0,0
Northern BC,Bonilla Island,-130.6151,53.46567,W,1976,1976-12-17,winter,DFO Area 05,California,N,0,NA,0,0
Northern BC,Bonilla Island,-130.6151,53.46567,W,2010,2010-01-23,winter,DFO Area 05,California,N,0,NA,0,0
Northern BC,Bonilla Island,-130.6151,53.46567,W,2012,2012-10-21,fall,DFO Area 05,California,N,0,NA,0,0
Northern BC,Bonilla Island,-130.6151,53.46567,W,2016,2016-10-27,fall,DFO Area 05,California,N,0,NA,0,0
Northern BC,Bonilla Island,-130.6151,53.46567,W,2017,2017-02-01,winter,DFO Area 05,California,N,0,NA,0,0
Northern BC,Cape George Rocks,-130.670717,53.83967,W,2010,2010-01-23,winter,DFO Area 05,California,N,0,NA,0,0
Northern BC,Cape George Rocks,-130.670717,53.83967,W,2012,2012-10-21,fall,DFO Area 05,California,N,0,NA,0,0
Northern BC,Cape George Rocks,-130.670717,53.83967,W,2016,2016-10-27,fall,DFO Area 05,California,N,0,NA,0,0
Northern BC,Cape George Rocks,-130.670717,53.83967,W,2017,2017-02-01,winter,DFO Area 05,California,N,0,NA,0,0
Northern BC,Cape Naden,-132.596319,54.127634,W,2009,2009-01-21,winter,DFO Area 01,California,N,0,NA,0,0
Northern BC,Cape Naden,-132.596319,54.127634,W,2012,2012-10-20,fall,DFO Area 01,California,N,0,NA,0,0
Northern BC,Cape Naden,-132.596319,54.127634,W,2016,2016-10-28,fall,DFO Area 01,California,N,0,NA,0,0
Northern BC,Cape Naden,-132.596319,54.127634,W,2017,2017-02-01,winter,DFO Area 01,California,N,0,NA,0,0
Northern BC,Cape St James,-131.001183,51.926481,W,1971,1971-12-12,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Cape St James,-131.001183,51.926481,W,1976,1976-12-17,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Cape St James,-131.001183,51.926481,W,2009,2009-01-20,winter,DFO Area 02,California,N,54,NA,0,54
Northern BC,Cape St James,-131.001183,51.926481,W,2012,2012-10-20,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Cape St James,-131.001183,51.926481,W,2016,2016-10-28,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Cape St James,-131.001183,51.926481,W,2017,2017-02-02,winter,DFO Area 02,California,N,34,NA,0,34
Northern BC,Chearnley-Connel,-130.9865,54.44132,W,1976,1976-12-15,winter,DFO Area 04,California,N,0,NA,0,0
Northern BC,Chearnley-Connel,-130.9865,54.44132,W,2010,2010-01-23,winter,DFO Area 04,California,N,0,NA,0,0
Northern BC,Chearnley-Connel,-130.9865,54.44132,W,2012,2012-10-20,fall,DFO Area 04,California,N,0,NA,0,0
Northern BC,Chearnley-Connel,-130.9865,54.44132,W,2016,2016-10-27,fall,DFO Area 04,California,N,0,NA,0,0
Northern BC,Chearnley-Connel,-130.9865,54.44132,W,2017,2017-02-01,winter,DFO Area 04,California,N,0,NA,0,0
Northern BC,Cone Head,-132.721167,53.376167,W,1976,1976-12-16,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Cone Head,-132.721167,53.376167,W,2012,2012-10-20,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Cone Head,-132.721167,53.376167,W,2016,2016-10-28,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Cone Head,-132.721167,53.376167,W,2017,2017-02-01,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Cumshewa,-131.579734,53.011191,W,2009,2009-01-22,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Cumshewa,-131.579734,53.011191,W,2012,2012-10-20,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Cumshewa,-131.579734,53.011191,W,2016,2016-10-28,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Dugout Rocks,-127.807877,51.36703,W,2010,2010-01-22,winter,DFO Area 09,California,N,62,NA,0,62
Northern BC,Dugout Rocks,-127.807877,51.36703,W,2012,2012-10-19,fall,DFO Area 09,California,N,0,NA,0,0
Northern BC,Dugout Rocks,-127.807877,51.36703,W,2016,2016-10-27,fall,DFO Area 09,California,N,0,NA,0,0
Northern BC,Dugout Rocks,-127.807877,51.36703,W,2017,2017-02-01,winter,DFO Area 09,California,N,0,NA,0,0
Northern BC,Garcin Rocks,-130.966136,52.208589,W,2009,2009-01-20,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Garcin Rocks,-130.966136,52.208589,W,2012,2012-10-20,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Garcin Rocks,-130.966136,52.208589,W,2016,2016-10-28,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Garcin Rocks,-130.966136,52.208589,W,2017,2017-02-02,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Gosling Rocks,-128.45748,51.85131,W,1971,1971-12-09,winter,DFO Area 07,California,N,0,NA,0,0
Northern BC,Gosling Rocks,-128.45748,51.85131,W,1976,1976-12-14,winter,DFO Area 07,California,N,0,NA,0,0
Northern BC,Gosling Rocks,-128.45748,51.85131,W,2010,2010-01-22,winter,DFO Area 07,California,N,0,NA,0,0
Northern BC,Gosling Rocks,-128.45748,51.85131,W,2012,2012-10-19,fall,DFO Area 07,California,N,0,NA,0,0
Northern BC,Gosling Rocks,-128.45748,51.85131,W,2016,2016-10-27,fall,DFO Area 07,California,N,0,NA,0,0
Northern BC,Gosling Rocks,-128.45748,51.85131,W,2017,2017-02-01,winter,DFO Area 07,California,N,0,NA,0,0
Northern BC,Helmet Island,-131.663883,52.815551,W,2009,2009-01-22,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Helmet Island,-131.663883,52.815551,W,2012,2012-10-20,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Helmet Island,-131.663883,52.815551,W,2016,2016-10-28,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Helmet Island,-131.663883,52.815551,W,2017,2017-02-02,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Hippa Island,-133.0095,53.552167,W,1971,1971-12-10,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Hippa Island,-133.0095,53.552167,W,1976,1976-12-16,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Hippa Island,-133.0095,53.552167,W,2009,2009-01-21,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Hippa Island,-133.0095,53.552167,W,2012,2012-10-20,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Hippa Island,-133.0095,53.552167,W,2016,2016-10-28,fall,DFO Area 02,California,N,1,NA,0,1
Northern BC,Hippa Island,-133.0095,53.552167,W,2017,2017-02-01,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Isnor-McKenney,-129.52799,52.73582,W,1971,1971-12-10,winter,DFO Area 106,California,N,0,NA,0,0
Northern BC,Isnor-McKenney,-129.52799,52.73582,W,1976,1976-12-17,winter,DFO Area 106,California,N,0,NA,0,0
Northern BC,Isnor-McKenney,-129.52799,52.73582,W,2010,2010-01-23,winter,DFO Area 106,California,N,0,NA,0,0
Northern BC,Isnor-McKenney,-129.52799,52.73582,W,2012,2012-10-20,fall,DFO Area 106,California,N,0,NA,0,0
Northern BC,Isnor-McKenney,-129.52799,52.73582,W,2016,2016-10-27,fall,DFO Area 106,California,N,0,NA,0,0
Northern BC,Isnor-McKenney,-129.52799,52.73582,W,2017,2017-02-01,winter,DFO Area 106,California,N,0,NA,0,0
Northern BC,Joseph Island,-130.04245,53.14445,W,2010,2010-01-23,winter,DFO Area 106,California,N,0,NA,0,0
Northern BC,Joseph Island,-130.04245,53.14445,W,2012,2012-10-20,fall,DFO Area 106,California,N,0,NA,0,0
Northern BC,Joseph Island,-130.04245,53.14445,W,2016,2016-10-27,fall,DFO Area 106,California,N,0,NA,0,0
Northern BC,Joseph Island,-130.04245,53.14445,W,2017,2017-02-01,winter,DFO Area 106,California,N,1,NA,0,1
Northern BC,Joseph Rocks,-133.13698,53.813442,W,1976,1976-12-16,winter,DFO Area 01,California,N,0,NA,0,0
Northern BC,Joseph Rocks,-133.13698,53.813442,W,2009,2009-01-21,winter,DFO Area 01,California,N,0,NA,0,0
Northern BC,Joseph Rocks,-133.13698,53.813442,W,2012,2012-10-20,fall,DFO Area 01,California,N,0,NA,0,0
Northern BC,Joseph Rocks,-133.13698,53.813442,W,2016,2016-10-28,fall,DFO Area 01,California,N,0,NA,0,0
Northern BC,Joseph Rocks,-133.13698,53.813442,W,2017,2017-02-01,winter,DFO Area 01,California,N,0,NA,0,0
Northern BC,Joyce Rocks,-131.139089,52.336751,W,2009,2009-01-20,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Joyce Rocks,-131.139089,52.336751,W,2012,2012-10-20,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Juan Perez Sound,-131.400261,52.485638,W,2017,2017-02-02,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Kindakun,-132.7568,53.33111,W,2009,2009-01-21,winter,DFO Area 02,California,N,1,NA,0,1
Northern BC,Kindakun,-132.7568,53.33111,W,2012,2012-10-20,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Kindakun,-132.7568,53.33111,W,2016,2016-10-28,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Kindakun,-132.7568,53.33111,W,2017,2017-02-02,winter,DFO Area 02,California,N,1,NA,0,1
Northern BC,Kootenay Inlet,-132.25935,52.857117,W,2009,2009-01-20,winter,DFO Area 02,California,N,1,NA,0,1
Northern BC,Kootenay Inlet,-132.25935,52.857117,W,2012,2012-10-20,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Kootenay Inlet,-132.25935,52.857117,W,2016,2016-10-28,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Kootenay Inlet,-132.25935,52.857117,W,2017,2017-02-02,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Langara Island,-133.014667,54.2605,W,1971,1971-12-10,winter,DFO Area 01,California,N,0,NA,0,0
Northern BC,Langara Island,-133.014667,54.2605,W,1976,1976-12-16,winter,DFO Area 01,California,N,0,NA,0,0
Northern BC,Langara Island,-133.014667,54.2605,W,2009,2009-01-21,winter,DFO Area 01,California,N,4,NA,0,4
Northern BC,Langara Island,-133.014667,54.2605,W,2012,2012-10-20,fall,DFO Area 01,California,N,0,NA,0,0
Northern BC,Langara Island,-133.014667,54.2605,W,2016,2016-10-28,fall,DFO Area 01,California,N,0,NA,0,0
Northern BC,Langara Island,-133.014667,54.2605,W,2017,2017-02-01,winter,DFO Area 01,California,N,0,NA,0,0
Northern BC,Lindsay Rocks,-129.25122,52.57021,W,2010,2010-01-22,winter,DFO Area 106,California,N,0,NA,0,0
Northern BC,Lindsay Rocks,-129.25122,52.57021,W,2012,2012-10-20,fall,DFO Area 106,California,N,0,NA,0,0
Northern BC,Lindsay Rocks,-129.25122,52.57021,W,2016,2016-10-27,fall,DFO Area 106,California,N,0,NA,0,0
Northern BC,Lindsay Rocks,-129.25122,52.57021,W,2017,2017-02-01,winter,DFO Area 106,California,N,0,NA,0,0
Northern BC,Marble Island,-132.651833,53.204667,W,1971,1971-12-10,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Marble Island,-132.651833,53.204667,W,1976,1976-12-16,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Marble Island,-132.651833,53.204667,W,2009,2009-01-21,winter,DFO Area 02,California,N,1,NA,0,1
Northern BC,Marble Island,-132.651833,53.204667,W,2012,2012-10-20,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Marble Island,-132.651833,53.204667,W,2016,2016-10-28,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Marble Island,-132.651833,53.204667,W,2017,2017-02-02,winter,DFO Area 02,California,N,5,NA,0,5
Northern BC,McDonald Island,-129.6955,52.979167,W,1971,1971-12-10,winter,DFO Area 06,California,N,0,NA,0,0
Northern BC,McDonald Island,-129.6955,52.979167,W,2010,2010-01-23,winter,DFO Area 06,California,N,0,NA,0,0
Northern BC,McDonald Island,-129.6955,52.979167,W,2012,2012-10-20,fall,DFO Area 06,California,N,0,NA,0,0
Northern BC,McDonald Island,-129.6955,52.979167,W,2016,2016-10-27,fall,DFO Area 06,California,N,0,NA,0,0
Northern BC,McDonald Island,-129.6955,52.979167,W,2017,2017-02-01,winter,DFO Area 06,California,N,0,NA,0,0
Northern BC,McInnes Island,-128.71926,52.25882,W,1971,1971-12-10,winter,DFO Area 07,California,N,0,NA,0,0
Northern BC,McInnes Island,-128.71926,52.25882,W,1976,1976-12-17,winter,DFO Area 07,California,N,0,NA,0,0
Northern BC,McInnes Island,-128.71926,52.25882,W,2010,2010-01-23,winter,DFO Area 07,California,N,0,NA,0,0
Northern BC,McInnes Island,-128.71926,52.25882,W,2012,2012-10-20,fall,DFO Area 07,California,N,0,NA,0,0
Northern BC,McInnes Island,-128.71926,52.25882,W,2016,2016-10-27,fall,DFO Area 07,California,N,1,NA,0,1
Northern BC,McInnes Island,-128.71926,52.25882,W,2017,2017-02-01,winter,DFO Area 07,California,N,0,NA,0,0
Northern BC,McLean Fraser Point,-131.42875,52.21523,W,1976,1976-12-17,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,McLean Fraser Point,-131.42875,52.21523,W,2009,2009-01-20,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,McLean Fraser Point,-131.42875,52.21523,W,2012,2012-10-20,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,McLean Fraser Point,-131.42875,52.21523,W,2016,2016-10-28,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,McLean Fraser Point,-131.42875,52.21523,W,2017,2017-02-02,winter,DFO Area 02,California,N,4,NA,0,4
Northern BC,Moresby Islets,-132.350267,52.97,W,1971,1971-12-11,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Moresby Islets,-132.350267,52.97,W,1976,1976-12-17,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Moresby Islets,-132.350267,52.97,W,2009,2009-01-20,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Moresby Islets,-132.350267,52.97,W,2012,2012-10-20,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Moresby Islets,-132.350267,52.97,W,2016,2016-10-28,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Moresby Islets,-132.350267,52.97,W,2017,2017-02-02,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,N Chads Point,-132.245377,52.814721,W,2012,2012-10-20,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,N Chads Point,-132.245377,52.814721,W,2016,2016-10-28,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,N Chads Point,-132.245377,52.814721,W,2017,2017-02-02,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Nangwai-Gowdas -Gowgaia,-131.607612,52.405445,W,2009,2009-01-20,winter,DFO Area 02,California,N,0,NA,0,0
Northern BC,Nangwai-Gowdas -Gowgaia,-131.607612,52.405445,W,2012,2012-10-20,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Nangwai-Gowdas -Gowgaia,-131.607612,52.405445,W,2016,2016-10-28,fall,DFO Area 02,California,N,0,NA,0,0
Northern BC,Nangwai-Gowdas -Gowgaia,-131.607612,52.405445,W,2017,2017-02-02,winter,DFO Area 02,California,N,12,NA,6,18
Northern BC,North Danger Rocks,-130.34491,53.25502,W,1971,1971-12-10,winter,DFO Area 105,California,N,0,NA,0,0
Northern BC,North Danger Rocks,-130.34491,53.25502,W,1976,1976-12-17,winter,DFO Area 105,California,N,0,NA,0,0
Northern BC,North Danger Rocks,-130.34491,53.25502,W,2010,2010-01-23,winter,DFO Area 105,California,N,1,NA,0,1
Northern BC,North Danger Rocks,-130.34491,53.25502,W,2012,2012-10-21,fall,DFO Area 105,California,N,0,NA,0,0
Northern BC,North Danger Rocks,-130.34491,53.25502,W,2016,2016-10-27,fall,DFO Area 105,California,N,1,NA,0,1
